Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99945,1
3C,4C,0.99804,1
3C,5H,0.99195,1
4C,6C,0.99870,1
4C,7C,0.99874,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99332,1
8C,12C,0.99886,1
8C,13H,0.99347,1
10C,12C,0.99895,1
10C,14H,0.99351,1
12C,15H,0.99337,1
16C,17C,0.99978,1
16C,18H,0.99296,1
16C,19H,0.99301,1
17C,20C,0.99980,1
20C,21H,0.99311,1
24O,40N,0.99497,1
25O,41N,0.99587,1
26C,27C,0.99659,1
26C,31C,0.99895,1
26C,40N,0.99915,1
27C,33C,0.99892,1
27C,41N,0.99915,1
28C,35C,0.99833,1
28C,41N,0.99835,1
28C,42C,0.99843,1
29C,30C,0.99829,1
29C,40N,0.99846,1
29C,48C,0.99846,1
30C,32C,0.99871,1
30C,49C,0.99857,1
31C,32C,0.99926,1
31C,36H,0.99375,1
32C,37H,0.99356,1
33C,34C,0.99929,1
33C,38H,0.99376,1
34C,35C,0.99869,1
34C,39H,0.99359,1
35C,43C,0.99858,1
42C,45C,0.99901,1
42C,56C,0.99832,1
43C,44H,0.99354,1
43C,46C,0.99928,1
45C,46C,0.99883,1
45C,55H,0.99360,1
46C,47H,0.99364,1
48C,53C,0.99903,1
48C,57C,0.99831,1
49C,50H,0.99351,1
49C,51C,0.99928,1
51C,52H,0.99360,1
51C,53C,0.99879,1
53C,54H,0.99357,1
56C,58N,0.99998,1
57C,59N,0.99998,1
