Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99794,1
3C,5H,0.99247,1
4C,6C,0.99874,1
4C,7C,0.99875,1
6C,8C,0.99914,1
6C,9H,0.99372,1
7C,10C,0.99909,1
7C,11H,0.99335,1
8C,12C,0.99888,1
8C,13H,0.99349,1
10C,12C,0.99893,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99297,1
17C,20C,0.99982,1
20C,21H,0.99284,1
24O,42N,0.99504,1
25O,43N,0.99557,1
26C,27C,0.99689,1
26C,31C,0.99909,1
26C,42N,0.99893,1
27C,33C,0.99907,1
27C,43N,0.99894,1
28C,35C,0.99864,1
28C,41C,0.99874,1
28C,43N,0.99858,1
29C,30C,0.99864,1
29C,42N,0.99859,1
29C,44C,0.99876,1
30C,32C,0.99894,1
30C,45C,0.99646,1
31C,32C,0.99915,1
31C,36H,0.99379,1
32C,37H,0.99365,1
33C,34C,0.99915,1
33C,38H,0.99378,1
34C,35C,0.99890,1
34C,39H,0.99367,1
35C,40C,0.99651,1
40C,56C,0.99881,1
40C,57C,0.99884,1
41C,68C,0.99997,1
44C,66C,0.99997,1
45C,46C,0.99883,1
45C,47C,0.99886,1
46C,50C,0.99903,1
46C,51H,0.99336,1
47C,49C,0.99904,1
47C,55H,0.99364,1
48C,49C,0.99897,1
48C,50C,0.99897,1
48C,53H,0.99337,1
49C,54H,0.99339,1
50C,52H,0.99340,1
56C,60C,0.99904,1
56C,61H,0.99340,1
57C,59C,0.99904,1
57C,65H,0.99377,1
58C,59C,0.99897,1
58C,60C,0.99897,1
58C,63H,0.99338,1
59C,64H,0.99339,1
60C,62H,0.99341,1
66C,67H,0.99533,1
68C,69H,0.99533,1
