Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99799,1
3C,5H,0.99225,1
4C,6C,0.99872,1
4C,7C,0.99876,1
6C,8C,0.99914,1
6C,9H,0.99360,1
7C,10C,0.99908,1
7C,11H,0.99335,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99300,1
16C,19H,0.99311,1
17C,20C,0.99982,1
20C,21H,0.99278,1
24O,42N,0.99439,1
25O,43N,0.99438,1
26C,27C,0.99626,1
26C,31C,0.99870,1
26C,42N,0.99914,1
27C,33C,0.99872,1
27C,43N,0.99915,1
28C,35C,0.99930,1
28C,41C,0.99462,1
28C,43N,0.99841,1
29C,30C,0.99930,1
29C,42N,0.99841,1
29C,44C,0.99469,1
30C,32C,0.99875,1
30C,45H,0.99375,1
31C,32C,0.99815,1
31C,36C,0.99849,1
32C,37C,0.99859,1
33C,34C,0.99814,1
33C,38C,0.99850,1
34C,35C,0.99874,1
34C,39C,0.99860,1
35C,40H,0.99376,1
36C,47C,0.99928,1
36C,48H,0.99373,1
37C,46C,0.99927,1
37C,49H,0.99344,1
38C,53C,0.99928,1
38C,54H,0.99371,1
39C,52C,0.99926,1
39C,55H,0.99344,1
41C,67C,0.99235,1
41C,68H,0.99291,1
41C,69C,0.99096,1
44C,58H,0.99268,1
44C,59C,0.99093,1
44C,60C,0.99232,1
46C,47C,0.99856,1
46C,50H,0.99344,1
47C,51H,0.99347,1
52C,53C,0.99856,1
52C,56H,0.99344,1
53C,57H,0.99348,1
59C,61H,0.99215,1
59C,62H,0.99240,1
59C,63H,0.99196,1
60C,64H,0.99227,1
60C,65H,0.99196,1
60C,66H,0.99216,1
67C,70H,0.99220,1
67C,71H,0.99227,1
67C,72H,0.99201,1
69C,73H,0.99202,1
69C,74H,0.99213,1
69C,75H,0.99240,1
