Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99942,1
3C,4C,0.99801,1
3C,5H,0.99215,1
4C,6C,0.99870,1
4C,7C,0.99874,1
6C,8C,0.99914,1
6C,9H,0.99366,1
7C,10C,0.99908,1
7C,11H,0.99333,1
8C,12C,0.99886,1
8C,13H,0.99344,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99298,1
17C,20C,0.99981,1
20C,21H,0.99277,1
24O,38N,0.99494,1
25O,39N,0.99450,1
26C,27C,0.99649,1
26C,31C,0.99855,1
26C,38N,0.99916,1
27C,33C,0.99857,1
27C,39N,0.99919,1
28C,35C,0.99940,1
28C,37H,0.99403,1
28C,39N,0.99876,1
29C,30C,0.99940,1
29C,38N,0.99876,1
29C,40H,0.99412,1
30C,32C,0.99866,1
30C,41H,0.99362,1
31C,32C,0.99805,1
31C,47C,0.99853,1
32C,48C,0.99863,1
33C,34C,0.99805,1
33C,42C,0.99855,1
34C,35C,0.99863,1
34C,43C,0.99865,1
35C,36H,0.99362,1
42C,46C,0.99927,1
42C,55H,0.99374,1
43C,44C,0.99925,1
43C,57H,0.99348,1
44C,45H,0.99347,1
44C,46C,0.99861,1
46C,56H,0.99349,1
47C,51C,0.99927,1
47C,54H,0.99378,1
48C,49C,0.99926,1
48C,52H,0.99345,1
49C,50H,0.99346,1
49C,51C,0.99861,1
51C,53H,0.99348,1
