Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99940,1
3C,4C,0.99796,1
3C,5H,0.99230,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99352,1
7C,10C,0.99908,1
7C,11H,0.99332,1
8C,12C,0.99887,1
8C,13H,0.99344,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99298,1
16C,19H,0.99301,1
17C,20C,0.99981,1
20C,21H,0.99296,1
24O,39N,0.99453,1
25O,40N,0.99426,1
26C,27C,0.99649,1
26C,31C,0.99893,1
26C,39N,0.99885,1
27C,33C,0.99891,1
27C,40N,0.99886,1
28C,35C,0.99910,1
28C,38H,0.99393,1
28C,40N,0.99916,1
29C,30C,0.99909,1
29C,39N,0.99919,1
29C,41H,0.99404,1
30C,32C,0.99901,1
30C,50C,0.99494,1
31C,32C,0.99894,1
31C,42C,0.99479,1
32C,36H,0.99337,1
33C,34C,0.99895,1
33C,46C,0.99481,1
34C,35C,0.99900,1
34C,37H,0.99338,1
35C,54C,0.99496,1
42C,43H,0.99206,1
42C,44H,0.99264,1
42C,45H,0.99232,1
46C,47H,0.99232,1
46C,48H,0.99206,1
46C,49H,0.99264,1
50C,51H,0.99190,1
50C,52H,0.99243,1
50C,53H,0.99220,1
54C,55H,0.99246,1
54C,56H,0.99189,1
54C,57H,0.99221,1
