Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99941,1
3C,4C,0.99812,1
3C,5H,0.99227,1
4C,6C,0.99869,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99356,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99886,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99297,1
16C,19H,0.99295,1
17C,20C,0.99981,1
20C,21H,0.99288,1
24O,42N,0.99375,1
25O,43N,0.99414,1
26C,27C,0.99662,1
26C,31C,0.99925,1
26C,42N,0.99896,1
27C,33C,0.99926,1
27C,43N,0.99896,1
28C,35C,0.99846,1
28C,41C,0.99376,1
28C,43N,0.99865,1
29C,30C,0.99852,1
29C,42N,0.99872,1
29C,44C,0.99391,1
30C,32C,0.99895,1
30C,45C,0.99049,1
31C,32C,0.99912,1
31C,36H,0.99377,1
32C,37H,0.99404,1
33C,34C,0.99913,1
33C,38H,0.99374,1
34C,35C,0.99895,1
34C,39H,0.99409,1
35C,40C,0.99013,1
40C,58C,0.99066,1
40C,59C,0.99046,1
40C,60C,0.99031,1
41C,79C,0.99190,1
41C,80C,0.99088,1
41C,81H,0.99378,1
44C,70C,0.99075,1
44C,71H,0.99395,1
44C,72C,0.99189,1
45C,46C,0.99043,1
45C,47C,0.99034,1
45C,48C,0.99066,1
46C,49H,0.99288,1
46C,50H,0.99212,1
46C,51H,0.99210,1
47C,52H,0.99206,1
47C,53H,0.99262,1
47C,54H,0.99206,1
48C,55H,0.99211,1
48C,56H,0.99231,1
48C,57H,0.99215,1
58C,61H,0.99208,1
58C,62H,0.99232,1
58C,63H,0.99215,1
59C,67H,0.99207,1
59C,68H,0.99307,1
59C,69H,0.99213,1
60C,64H,0.99208,1
60C,65H,0.99204,1
60C,66H,0.99262,1
70C,73H,0.99213,1
70C,74H,0.99252,1
70C,75H,0.99209,1
72C,76H,0.99215,1
72C,77H,0.99249,1
72C,78H,0.99333,1
79C,82H,0.99337,1
79C,83H,0.99201,1
79C,84H,0.99250,1
80C,85H,0.99284,1
80C,86H,0.99206,1
80C,87H,0.99213,1
