Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99936,1
3C,4C,0.99808,1
3C,5H,0.99240,1
4C,6C,0.99870,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99363,1
7C,10C,0.99909,1
7C,11H,0.99334,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99301,1
16C,19H,0.99308,1
17C,20C,0.99981,1
20C,21H,0.99280,1
24O,40N,0.99523,1
25O,41N,0.99543,1
26C,27C,0.99629,1
26C,31C,0.99898,1
26C,40N,0.99894,1
27C,33C,0.99898,1
27C,41N,0.99894,1
28C,35C,0.99885,1
28C,39C,0.99130,1
28C,41N,0.99888,1
29C,30C,0.99885,1
29C,40N,0.99886,1
29C,42C,0.99110,1
30C,32C,0.99893,1
30C,43C,0.99641,1
31C,32C,0.99907,1
31C,74C,0.99494,1
32C,36H,0.99356,1
33C,34C,0.99903,1
33C,70C,0.99497,1
34C,35C,0.99893,1
34C,37H,0.99352,1
35C,38C,0.99646,1
38C,60C,0.99888,1
38C,61C,0.99887,1
39C,47F,0.99745,1
39C,48F,0.99737,1
39C,49F,0.99738,1
42C,44F,0.99740,1
42C,45F,0.99764,1
42C,46F,0.99726,1
43C,50C,0.99887,1
43C,51C,0.99887,1
50C,54C,0.99904,1
50C,55H,0.99351,1
51C,53C,0.99903,1
51C,59H,0.99338,1
52C,53C,0.99897,1
52C,54C,0.99897,1
52C,57H,0.99338,1
53C,58H,0.99340,1
54C,56H,0.99341,1
60C,64C,0.99903,1
60C,65H,0.99339,1
61C,63C,0.99904,1
61C,69H,0.99352,1
62C,63C,0.99897,1
62C,64C,0.99896,1
62C,67H,0.99338,1
63C,68H,0.99340,1
64C,66H,0.99341,1
70C,71H,0.99195,1
70C,72H,0.99255,1
70C,73H,0.99241,1
74C,75H,0.99196,1
74C,76H,0.99252,1
74C,77H,0.99246,1
