Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99936,1
3C,4C,0.99814,1
3C,5H,0.99236,1
4C,6C,0.99868,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99347,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99885,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99338,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99300,1
17C,20C,0.99981,1
20C,21H,0.99289,1
24O,41N,0.99607,1
25O,42N,0.99546,1
26C,27C,0.99655,1
26C,31C,0.99909,1
26C,41N,0.99891,1
27C,33C,0.99908,1
27C,42N,0.99888,1
28C,35C,0.99914,1
28C,42N,0.99882,1
28C,45C,0.99201,1
29C,30C,0.99915,1
29C,41N,0.99886,1
29C,44C,0.99215,1
30C,32C,0.99904,1
30C,43H,0.99392,1
31C,32C,0.99911,1
31C,36H,0.99372,1
32C,37H,0.99369,1
33C,34C,0.99912,1
33C,38H,0.99372,1
34C,35C,0.99906,1
34C,39H,0.99368,1
35C,40H,0.99394,1
44C,49F,0.99781,1
44C,50F,0.99726,1
44C,51F,0.99726,1
45C,46F,0.99763,1
45C,47F,0.99724,1
45C,48F,0.99758,1
