Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99801,1
3C,5H,0.99270,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99334,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99893,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99300,1
17C,20C,0.99982,1
20C,21H,0.99297,1
24O,42N,0.99453,1
25O,43N,0.99393,1
26C,27C,0.99632,1
26C,31C,0.99871,1
26C,42N,0.99916,1
27C,33C,0.99871,1
27C,43N,0.99916,1
28C,35C,0.99930,1
28C,41C,0.99463,1
28C,43N,0.99838,1
29C,30C,0.99931,1
29C,42N,0.99838,1
29C,44C,0.99464,1
30C,32C,0.99875,1
30C,45H,0.99377,1
31C,32C,0.99817,1
31C,36C,0.99850,1
32C,37C,0.99860,1
33C,34C,0.99816,1
33C,38C,0.99850,1
34C,35C,0.99874,1
34C,39C,0.99860,1
35C,40H,0.99377,1
36C,47C,0.99928,1
36C,48H,0.99371,1
37C,46C,0.99926,1
37C,49H,0.99343,1
38C,53C,0.99928,1
38C,54H,0.99371,1
39C,52C,0.99926,1
39C,55H,0.99345,1
41C,67C,0.99229,1
41C,68H,0.99259,1
41C,69C,0.99085,1
44C,58H,0.99279,1
44C,59C,0.99105,1
44C,60C,0.99230,1
46C,47C,0.99857,1
46C,50H,0.99344,1
47C,51H,0.99348,1
52C,53C,0.99857,1
52C,56H,0.99344,1
53C,57H,0.99348,1
59C,61H,0.99216,1
59C,62H,0.99222,1
59C,63H,0.99205,1
60C,64H,0.99227,1
60C,65H,0.99205,1
60C,66H,0.99221,1
67C,70H,0.99208,1
67C,71H,0.99232,1
67C,72H,0.99200,1
69C,73H,0.99201,1
69C,74H,0.99218,1
69C,75H,0.99238,1
