Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99941,1
3C,4C,0.99800,1
3C,5H,0.99232,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99329,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99300,1
17C,20C,0.99981,1
20C,21H,0.99273,1
24O,40N,0.99422,1
25O,41N,0.99404,1
26C,27C,0.99643,1
26C,31C,0.99920,1
26C,40N,0.99832,1
27C,33C,0.99919,1
27C,41N,0.99825,1
28C,35C,0.99888,1
28C,39H,0.99411,1
28C,41N,0.99942,1
29C,30C,0.99889,1
29C,40N,0.99942,1
29C,42H,0.99393,1
30C,32C,0.99820,1
30C,43C,0.99860,1
31C,32C,0.99819,1
31C,56C,0.99487,1
32C,36C,0.99864,1
33C,34C,0.99820,1
33C,60C,0.99484,1
34C,35C,0.99823,1
34C,37C,0.99864,1
35C,38C,0.99859,1
36C,44C,0.99920,1
36C,47H,0.99374,1
37C,50C,0.99920,1
37C,53H,0.99373,1
38C,51C,0.99926,1
38C,52H,0.99347,1
43C,45C,0.99926,1
43C,46H,0.99346,1
44C,45C,0.99865,1
44C,48H,0.99343,1
45C,49H,0.99348,1
50C,51C,0.99865,1
50C,54H,0.99344,1
51C,55H,0.99349,1
56C,57H,0.99200,1
56C,58H,0.99291,1
56C,59H,0.99219,1
60C,61H,0.99220,1
60C,62H,0.99199,1
60C,63H,0.99293,1
