Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99808,1
3C,5H,0.99229,1
4C,6C,0.99870,1
4C,7C,0.99873,1
6C,8C,0.99915,1
6C,9H,0.99361,1
7C,10C,0.99909,1
7C,11H,0.99334,1
8C,12C,0.99886,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99337,1
16C,17C,0.99977,1
16C,18H,0.99302,1
16C,19H,0.99302,1
17C,20C,0.99981,1
20C,21H,0.99279,1
24O,41N,0.99532,1
25O,42N,0.99564,1
26C,27C,0.99683,1
26C,31C,0.99915,1
26C,41N,0.99875,1
27C,33C,0.99913,1
27C,42N,0.99874,1
28C,35C,0.99919,1
28C,42N,0.99895,1
28C,45F,0.99863,1
29C,30C,0.99917,1
29C,41N,0.99897,1
29C,44F,0.99870,1
30C,32C,0.99910,1
30C,43H,0.99374,1
31C,32C,0.99900,1
31C,36H,0.99381,1
32C,37H,0.99365,1
33C,34C,0.99901,1
33C,38H,0.99378,1
34C,35C,0.99909,1
34C,39H,0.99366,1
35C,40H,0.99373,1
