Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99935,1
3C,4C,0.99801,1
3C,5H,0.99247,1
4C,6C,0.99871,1
4C,7C,0.99876,1
6C,8C,0.99915,1
6C,9H,0.99364,1
7C,10C,0.99908,1
7C,11H,0.99335,1
8C,12C,0.99887,1
8C,13H,0.99348,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99337,1
16C,17C,0.99975,1
16C,18H,0.99298,1
16C,19H,0.99301,1
17C,20C,0.99982,1
20C,21H,0.99296,1
24O,36N,0.99519,1
25O,37N,0.99454,1
26C,27C,0.99629,1
26C,31C,0.99929,1
26C,36N,0.99839,1
27C,33C,0.99926,1
27C,37N,0.99846,1
28C,35C,0.99853,1
28C,37N,0.99922,1
28C,50C,0.99123,1
29C,30C,0.99843,1
29C,36N,0.99922,1
29C,51C,0.99097,1
30C,32C,0.99806,1
30C,52C,0.99844,1
31C,32C,0.99834,1
31C,66C,0.99490,1
32C,38C,0.99864,1
33C,34C,0.99832,1
33C,62C,0.99494,1
34C,35C,0.99802,1
34C,44C,0.99865,1
35C,54C,0.99844,1
38C,39C,0.99925,1
38C,43H,0.99378,1
39C,40H,0.99347,1
39C,41C,0.99873,1
41C,42H,0.99350,1
41C,52C,0.99927,1
44C,45C,0.99925,1
44C,48H,0.99381,1
45C,46H,0.99348,1
45C,47C,0.99872,1
47C,49H,0.99352,1
47C,54C,0.99928,1
50C,59F,0.99808,1
50C,60F,0.99691,1
50C,61F,0.99710,1
51C,56F,0.99724,1
51C,57F,0.99670,1
51C,58F,0.99804,1
52C,53H,0.99414,1
54C,55H,0.99409,1
62C,63H,0.99216,1
62C,64H,0.99202,1
62C,65H,0.99292,1
66C,67H,0.99214,1
66C,68H,0.99206,1
66C,69H,0.99294,1
