Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99937,1
3C,4C,0.99797,1
3C,5H,0.99241,1
4C,6C,0.99871,1
4C,7C,0.99877,1
6C,8C,0.99914,1
6C,9H,0.99351,1
7C,10C,0.99908,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99344,1
10C,12C,0.99895,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99975,1
16C,18H,0.99299,1
16C,19H,0.99302,1
17C,20C,0.99982,1
20C,21H,0.99287,1
24O,40N,0.99519,1
25O,41N,0.99450,1
26C,27C,0.99658,1
26C,31C,0.99909,1
26C,40N,0.99874,1
27C,33C,0.99909,1
27C,41N,0.99875,1
28C,35C,0.99897,1
28C,39F,0.99850,1
28C,41N,0.99907,1
29C,30C,0.99896,1
29C,40N,0.99908,1
29C,42F,0.99849,1
30C,32C,0.99905,1
30C,43C,0.99231,1
31C,32C,0.99886,1
31C,72C,0.99481,1
32C,36H,0.99378,1
33C,34C,0.99887,1
33C,68C,0.99482,1
34C,35C,0.99904,1
34C,37H,0.99375,1
35C,38C,0.99218,1
38C,56C,0.99066,1
38C,57C,0.99069,1
38C,58C,0.99172,1
43C,44C,0.99069,1
43C,45C,0.99167,1
43C,46C,0.99068,1
44C,47H,0.99206,1
44C,48H,0.99214,1
44C,49H,0.99255,1
45C,50H,0.99228,1
45C,51H,0.99205,1
45C,52H,0.99208,1
46C,53H,0.99210,1
46C,54H,0.99211,1
46C,55H,0.99259,1
56C,59H,0.99260,1
56C,60H,0.99215,1
56C,61H,0.99228,1
57C,62H,0.99251,1
57C,63H,0.99208,1
57C,64H,0.99212,1
58C,65H,0.99204,1
58C,66H,0.99233,1
58C,67H,0.99208,1
68C,69H,0.99270,1
68C,70H,0.99229,1
68C,71H,0.99206,1
72C,73H,0.99229,1
72C,74H,0.99203,1
72C,75H,0.99269,1
