Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99942,1
3C,4C,0.99787,1
3C,5H,0.99247,1
4C,6C,0.99874,1
4C,7C,0.99876,1
6C,8C,0.99913,1
6C,9H,0.99362,1
7C,10C,0.99908,1
7C,11H,0.99334,1
8C,12C,0.99888,1
8C,13H,0.99354,1
10C,12C,0.99895,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99295,1
16C,19H,0.99314,1
17C,20C,0.99982,1
20C,21H,0.99294,1
24O,42N,0.99447,1
25O,43N,0.99517,1
26C,27C,0.99674,1
26C,31C,0.99915,1
26C,42N,0.99887,1
27C,33C,0.99915,1
27C,43N,0.99890,1
28C,35C,0.99870,1
28C,41C,0.99652,1
28C,43N,0.99874,1
29C,30C,0.99872,1
29C,42N,0.99880,1
29C,44C,0.99654,1
30C,32C,0.99894,1
30C,45C,0.99620,1
31C,32C,0.99912,1
31C,36H,0.99375,1
32C,37H,0.99360,1
33C,34C,0.99913,1
33C,38H,0.99375,1
34C,35C,0.99891,1
34C,39H,0.99363,1
35C,40C,0.99624,1
40C,76C,0.99886,1
40C,77C,0.99886,1
41C,66C,0.99889,1
41C,67C,0.99893,1
44C,56C,0.99893,1
44C,57C,0.99891,1
45C,46C,0.99887,1
45C,47C,0.99886,1
46C,50C,0.99901,1
46C,51H,0.99337,1
47C,49C,0.99905,1
47C,55H,0.99360,1
48C,49C,0.99896,1
48C,50C,0.99898,1
48C,53H,0.99336,1
49C,54H,0.99338,1
50C,52H,0.99338,1
56C,60C,0.99905,1
56C,61H,0.99366,1
57C,59C,0.99905,1
57C,65H,0.99353,1
58C,59C,0.99897,1
58C,60C,0.99897,1
58C,63H,0.99336,1
59C,64H,0.99339,1
60C,62H,0.99341,1
66C,70C,0.99906,1
66C,71H,0.99362,1
67C,69C,0.99906,1
67C,75H,0.99376,1
68C,69C,0.99899,1
68C,70C,0.99897,1
68C,73H,0.99338,1
69C,74H,0.99341,1
70C,72H,0.99341,1
76C,80C,0.99905,1
76C,81H,0.99362,1
77C,79C,0.99902,1
77C,85H,0.99337,1
78C,79C,0.99898,1
78C,80C,0.99896,1
78C,83H,0.99338,1
79C,84H,0.99339,1
80C,82H,0.99339,1
