Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99800,1
3C,5H,0.99234,1
4C,6C,0.99871,1
4C,7C,0.99876,1
6C,8C,0.99913,1
6C,9H,0.99354,1
7C,10C,0.99908,1
7C,11H,0.99335,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99301,1
16C,19H,0.99311,1
17C,20C,0.99981,1
20C,21H,0.99270,1
24O,42N,0.99508,1
25O,43N,0.99514,1
26C,27C,0.99674,1
26C,31C,0.99918,1
26C,42N,0.99897,1
27C,33C,0.99918,1
27C,43N,0.99897,1
28C,35C,0.99854,1
28C,41C,0.99868,1
28C,43N,0.99858,1
29C,30C,0.99856,1
29C,42N,0.99856,1
29C,44C,0.99871,1
30C,32C,0.99896,1
30C,45C,0.99189,1
31C,32C,0.99909,1
31C,36H,0.99375,1
32C,37H,0.99397,1
33C,34C,0.99908,1
33C,38H,0.99373,1
34C,35C,0.99896,1
34C,39H,0.99397,1
35C,40C,0.99188,1
40C,62C,0.99070,1
40C,63C,0.99068,1
40C,64C,0.99140,1
41C,60C,0.99997,1
44C,58C,0.99997,1
45C,46C,0.99067,1
45C,47C,0.99142,1
45C,48C,0.99063,1
46C,49H,0.99203,1
46C,50H,0.99208,1
46C,51H,0.99277,1
47C,52H,0.99231,1
47C,53H,0.99205,1
47C,54H,0.99207,1
48C,55H,0.99211,1
48C,56H,0.99207,1
48C,57H,0.99276,1
58C,59H,0.99533,1
60C,61H,0.99535,1
62C,65H,0.99288,1
62C,66H,0.99212,1
62C,67H,0.99210,1
63C,68H,0.99274,1
63C,69H,0.99204,1
63C,70H,0.99210,1
64C,71H,0.99205,1
64C,72H,0.99232,1
64C,73H,0.99209,1
