Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99940,1
3C,4C,0.99796,1
3C,5H,0.99242,1
4C,6C,0.99872,1
4C,7C,0.99875,1
6C,8C,0.99913,1
6C,9H,0.99354,1
7C,10C,0.99908,1
7C,11H,0.99329,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99298,1
17C,20C,0.99982,1
20C,21H,0.99281,1
24O,39N,0.99464,1
25O,40N,0.99419,1
26C,27C,0.99658,1
26C,31C,0.99895,1
26C,39N,0.99882,1
27C,33C,0.99892,1
27C,40N,0.99888,1
28C,35C,0.99910,1
28C,38H,0.99394,1
28C,40N,0.99916,1
29C,30C,0.99906,1
29C,39N,0.99920,1
29C,41H,0.99400,1
30C,32C,0.99904,1
30C,50C,0.99495,1
31C,32C,0.99891,1
31C,42C,0.99480,1
32C,36H,0.99340,1
33C,34C,0.99896,1
33C,46C,0.99486,1
34C,35C,0.99899,1
34C,37H,0.99336,1
35C,54C,0.99496,1
42C,43H,0.99202,1
42C,44H,0.99263,1
42C,45H,0.99236,1
46C,47H,0.99232,1
46C,48H,0.99209,1
46C,49H,0.99258,1
50C,51H,0.99187,1
50C,52H,0.99218,1
50C,53H,0.99249,1
54C,55H,0.99193,1
54C,56H,0.99249,1
54C,57H,0.99219,1
