Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99806,1
3C,5H,0.99216,1
4C,6C,0.99870,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99886,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99300,1
16C,19H,0.99296,1
17C,20C,0.99981,1
20C,21H,0.99268,1
24O,39N,0.99452,1
25O,40N,0.99442,1
26C,27C,0.99650,1
26C,31C,0.99893,1
26C,39N,0.99886,1
27C,33C,0.99894,1
27C,40N,0.99885,1
28C,35C,0.99909,1
28C,38H,0.99406,1
28C,40N,0.99919,1
29C,30C,0.99910,1
29C,39N,0.99919,1
29C,41H,0.99399,1
30C,32C,0.99900,1
30C,50C,0.99494,1
31C,32C,0.99894,1
31C,42C,0.99481,1
32C,36H,0.99335,1
33C,34C,0.99894,1
33C,46C,0.99478,1
34C,35C,0.99902,1
34C,37H,0.99337,1
35C,54C,0.99492,1
42C,43H,0.99205,1
42C,44H,0.99261,1
42C,45H,0.99235,1
46C,47H,0.99230,1
46C,48H,0.99205,1
46C,49H,0.99266,1
50C,51H,0.99187,1
50C,52H,0.99245,1
50C,53H,0.99222,1
54C,55H,0.99190,1
54C,56H,0.99243,1
54C,57H,0.99221,1
